"Hugo_Symbol"	"Frame_Shift_Del"	"Frame_Shift_Ins"	"In_Frame_Del"	"In_Frame_Ins"	"Missense_Mutation"	"Nonsense_Mutation"	"Nonstop_Mutation"	"Splice_Site"	"Translation_Start_Site"	"total"	"MutatedSamples"	"AlteredSamples"
"ADCY2"	0	0	0	0	1	0	0	0	0	1	1	1
"ADGB"	0	0	0	0	1	0	0	0	0	1	1	1
"ADGRB3"	0	0	0	0	0	1	0	0	0	1	1	1
"ADGRE1"	0	0	0	0	1	0	0	0	0	1	1	1
"ADGRE2"	0	0	0	0	1	0	0	0	0	1	1	1
"ADGRG1"	0	1	0	0	0	0	0	0	0	1	1	1
"ADH6"	0	0	0	0	1	0	0	0	0	1	1	1
"ADNP"	0	0	0	0	1	0	0	0	0	1	1	1
"ADPRH"	0	0	0	0	1	0	0	0	0	1	1	1
"ADRA1A"	0	0	0	0	1	0	0	0	0	1	1	1
"ADRA1D"	0	0	0	0	1	0	0	0	0	1	1	1
"ADSS"	0	0	0	0	0	1	0	0	0	1	1	1
"AEBP1"	0	0	0	0	1	0	0	0	0	1	1	1
"AFF1"	0	0	0	0	1	0	0	0	0	1	1	1
"AFTPH"	0	0	0	0	0	0	0	1	0	1	1	1
"AGBL3"	0	0	0	0	0	1	0	0	0	1	1	1
"AGFG2"	0	0	0	0	1	0	0	0	0	1	1	1
"AGPS"	0	0	0	0	1	0	0	0	0	1	1	1
"AGRN"	0	0	0	0	1	0	0	0	0	1	1	1
"AIM1"	0	0	0	0	1	0	0	0	0	1	1	1
"AK7"	0	0	0	0	0	0	0	1	0	1	1	1
"AK8"	0	0	0	0	1	0	0	0	0	1	1	1
"AKAP12"	0	0	0	0	1	0	0	0	0	1	1	1
"AKAP4"	0	0	0	0	1	0	0	0	0	1	1	1
"AKR1B10"	0	0	0	0	0	1	0	0	0	1	1	1
"AKR1C2"	0	0	0	0	1	0	0	0	0	1	1	1
"AKR1E2"	0	0	0	0	0	0	1	0	0	1	1	1
"AKT2"	0	0	0	0	1	0	0	0	0	1	1	1
"AKT3"	0	0	0	0	1	0	0	0	0	1	1	1
"ALCAM"	1	0	0	0	0	0	0	0	0	1	1	1
"ALDH18A1"	0	0	0	0	1	0	0	0	0	1	1	1
"ALDH1A1"	0	0	0	0	1	0	0	0	0	1	1	1
"ALDH2"	0	0	0	0	1	0	0	0	0	1	1	1
"ALDH9A1"	0	0	0	0	1	0	0	0	0	1	1	1
"ALG13"	0	0	0	0	1	0	0	0	0	1	1	1
"ALG1L2"	0	0	0	0	0	1	0	0	0	1	1	1
"ALKBH8"	1	0	0	0	0	0	0	0	0	1	1	1
"ALOX15"	0	0	0	0	1	0	0	0	0	1	1	1
"ALPK2"	0	0	0	0	1	0	0	0	0	1	1	1
"ALX4"	0	0	0	0	1	0	0	0	0	1	1	1
"AMELX"	0	0	0	0	1	0	0	0	0	1	1	1
"AMMECR1L"	0	0	0	0	1	0	0	0	0	1	1	1
"AMZ1"	0	0	0	0	0	1	0	0	0	1	1	1
"AMZ2"	0	0	0	0	1	0	0	0	0	1	1	1
"ANAPC1"	0	0	0	0	0	1	0	0	0	1	1	1
"ANAPC4"	0	0	0	0	1	0	0	0	0	1	1	1
